,Patient,Block,Cancel_cost
0,0.0,6.0,1225.5
1,1.0,28.0,1200.0
2,2.0,27.0,1200.0
3,3.0,14.0,1260.0
4,4.0,13.0,1240.2
5,5.0,1.0,1090.5
6,6.0,10.0,606.3000000000001
7,7.0,5.0,2168.1
8,8.0,3.0,669.9
9,9.0,-1.0,0.0
10,10.0,-1.0,0.0
11,11.0,-1.0,0.0
12,12.0,12.0,689.0999999999999
13,13.0,-1.0,0.0
14,14.0,22.0,1800.0
15,15.0,10.0,647.4
16,16.0,-1.0,0.0
17,17.0,-1.0,0.0
18,18.0,-1.0,0.0
19,19.0,25.0,702.3
20,20.0,11.0,1474.2
21,21.0,15.0,1260.0
22,22.0,5.0,1720.8
23,23.0,1.0,1290.6
24,24.0,-1.0,0.0
25,25.0,-1.0,0.0
26,26.0,2.0,1800.0
27,27.0,29.0,1227.3
28,28.0,20.0,1790.4
29,29.0,27.0,1216.5
30,30.0,21.0,1200.0
31,31.0,3.0,1140.0
32,32.0,15.0,1245.0
33,33.0,18.0,1088.7
34,34.0,-1.0,0.0
35,35.0,6.0,926.1
36,36.0,9.0,1200.0
37,37.0,19.0,884.6999999999999
38,38.0,-1.0,0.0
39,39.0,19.0,1010.7
40,40.0,12.0,2400.0
41,41.0,27.0,1206.0
42,42.0,-1.0,0.0
43,43.0,-1.0,0.0
44,44.0,-1.0,0.0
45,45.0,-1.0,0.0
46,46.0,30.0,861.0
47,47.0,19.0,941.1
48,48.0,6.0,955.8
49,49.0,10.0,1563.6
50,50.0,10.0,1494.0
51,51.0,4.0,941.1
52,52.0,16.0,1098.9
53,53.0,25.0,1045.2
54,54.0,12.0,642.3
55,55.0,23.0,831.5999999999999
56,56.0,-1.0,0.0
57,57.0,5.0,1043.1
58,58.0,18.0,850.8
59,59.0,24.0,794.4
60,60.0,23.0,1688.1
61,61.0,-1.0,0.0
62,62.0,17.0,1910.1
63,63.0,-1.0,0.0
64,64.0,14.0,1023.6
65,65.0,18.0,611.4
66,66.0,31.0,1411.2
67,67.0,3.0,794.6999999999999
68,68.0,-1.0,0.0
69,69.0,21.0,1328.7
70,70.0,13.0,1718.7
71,71.0,23.0,997.2
72,72.0,23.0,1074.6
73,73.0,-1.0,0.0
74,74.0,-1.0,0.0
75,75.0,-1.0,0.0
76,76.0,-1.0,0.0
77,77.0,4.0,693.6
78,78.0,-1.0,0.0
79,79.0,-1.0,0.0
80,80.0,-1.0,0.0
81,81.0,-1.0,0.0
82,82.0,24.0,1800.0
83,83.0,1.0,1101.3
84,84.0,30.0,1685.4
85,85.0,-1.0,0.0
86,86.0,-1.0,0.0
87,87.0,29.0,681.0
88,88.0,15.0,1567.5
89,89.0,21.0,933.6
90,90.0,-1.0,0.0
91,91.0,28.0,1763.4
92,92.0,6.0,1232.1
93,93.0,22.0,1163.1
94,94.0,16.0,1263.0
95,95.0,25.0,916.8
96,96.0,16.0,1599.3000000000002
97,97.0,11.0,2400.0
98,98.0,-1.0,0.0
99,99.0,-1.0,0.0
100,100.0,-1.0,0.0
101,101.0,1.0,1236.6
102,102.0,12.0,1060.8
103,103.0,26.0,1152.9
104,104.0,25.0,1721.4
105,105.0,4.0,1246.8000000000002
106,106.0,-1.0,0.0
107,107.0,6.0,927.3
108,108.0,0.0,943.5
109,109.0,-1.0,0.0
110,110.0,1.0,1160.4
111,111.0,7.0,2199.3
112,112.0,17.0,2400.0
113,113.0,3.0,857.4
114,114.0,20.0,1054.8
115,115.0,26.0,916.5
116,116.0,9.0,1357.2
117,117.0,12.0,810.0
118,118.0,28.0,1200.0
119,119.0,0.0,1639.5
120,120.0,9.0,1200.0
121,121.0,7.0,1328.4
122,122.0,31.0,1200.0
123,123.0,27.0,1464.9
124,124.0,3.0,602.7
125,125.0,8.0,1053.0
126,126.0,2.0,1728.6
127,127.0,9.0,1163.4
128,128.0,-1.0,0.0
129,129.0,30.0,636.5999999999999
130,130.0,19.0,2159.4
131,131.0,15.0,1371.0
132,132.0,18.0,809.0999999999999
133,133.0,-1.0,0.0
134,134.0,-1.0,0.0
135,135.0,24.0,737.7
136,136.0,11.0,832.8000000000001
137,137.0,15.0,1546.2
138,138.0,5.0,1724.4
139,139.0,-1.0,0.0
140,140.0,22.0,1221.6
141,141.0,17.0,1366.8000000000002
142,142.0,16.0,974.7
143,143.0,4.0,900.9
144,144.0,25.0,1800.0
145,145.0,30.0,1095.0
146,146.0,12.0,696.0
147,147.0,16.0,698.1
148,148.0,4.0,638.6999999999999
149,149.0,17.0,796.5
150,150.0,5.0,1800.0
151,151.0,8.0,1800.0
152,152.0,-1.0,0.0
153,153.0,-1.0,0.0
154,154.0,29.0,600.0
155,155.0,-1.0,0.0
156,156.0,20.0,1800.0
157,157.0,7.0,1559.4
158,158.0,31.0,1800.0
159,159.0,27.0,1800.0
160,160.0,30.0,971.4
161,161.0,13.0,1067.1
162,162.0,29.0,1800.0
163,163.0,14.0,1719.6
164,164.0,4.0,973.5
165,165.0,8.0,1065.3
166,166.0,28.0,1096.5
167,167.0,-1.0,0.0
168,168.0,30.0,942.3
169,169.0,-1.0,0.0
170,170.0,-1.0,0.0
171,171.0,23.0,1200.0
172,172.0,-1.0,0.0
173,173.0,-1.0,0.0
174,174.0,31.0,1037.7
175,175.0,31.0,1236.9
176,176.0,11.0,1634.1
177,177.0,20.0,1057.2
178,178.0,-1.0,0.0
179,179.0,24.0,1212.0
180,180.0,13.0,1512.0
181,181.0,-1.0,0.0
182,182.0,-1.0,0.0
183,183.0,2.0,1135.2
184,184.0,-1.0,0.0
185,185.0,23.0,1627.2
186,186.0,-1.0,0.0
187,187.0,-1.0,0.0
188,188.0,-1.0,0.0
189,189.0,19.0,720.9000000000001
190,190.0,29.0,928.5
191,191.0,-1.0,0.0
192,192.0,7.0,1200.0
193,193.0,19.0,759.3
194,194.0,14.0,917.7
195,195.0,3.0,625.2
196,196.0,29.0,938.4
197,197.0,25.0,1097.1
198,198.0,6.0,2167.8
199,199.0,-1.0,0.0
