,Block,Specialty,Day,Electives,Emergencies,Start_times
0,0,GAS,1,2,2,"[0, 112, 262, 392]"
1,1,CAR,1,5,0,"[0, 81, 196, 299, 405]"
2,2,ORT,1,3,0,"[0, 146, 312]"
3,3,GYN,1,6,0,"[0, 70, 155, 244, 330, 415]"
4,4,URO,1,6,0,"[0, 71, 151, 233, 316, 397]"
5,5,CAR,1,5,0,"[0, 81, 196, 299, 405]"
6,6,URO,1,6,0,"[0, 71, 151, 233, 316, 397]"
7,7,GAS,2,4,0,"[0, 117, 251, 390]"
8,8,ORT,2,3,0,"[0, 146, 312]"
9,9,ORT,2,4,0,"[0, 122, 259, 400]"
10,10,GYN,2,4,1,"[0, 74, 163, 254, 359]"
11,11,GYN,2,4,1,"[0, 74, 163, 254, 359]"
12,12,URO,2,6,0,"[0, 71, 151, 233, 316, 397]"
13,13,GAS,3,4,0,"[0, 117, 251, 390]"
14,14,GAS,3,4,0,"[0, 117, 251, 390]"
15,15,CAR,3,5,0,"[0, 81, 196, 299, 405]"
16,16,MED,3,5,0,"[0, 75, 175, 268, 354]"
17,17,GYN,3,4,1,"[0, 74, 163, 254, 359]"
18,18,GYN,3,4,1,"[0, 74, 163, 254, 359]"
19,19,URO,3,6,0,"[0, 71, 151, 233, 316, 397]"
20,20,ORT,3,4,0,"[0, 122, 259, 400]"
21,21,GAS,4,3,1,"[0, 106, 248, 379]"
22,22,ORT,4,3,0,"[0, 146, 312]"
23,23,GYN,4,6,0,"[0, 70, 155, 244, 330, 415]"
24,24,GYN,4,4,1,"[0, 74, 163, 254, 359]"
25,25,URO,4,6,0,"[0, 71, 151, 233, 316, 397]"
26,26,GAS,5,2,2,"[0, 112, 262, 392]"
27,27,CAR,5,5,0,"[0, 81, 196, 299, 405]"
28,28,ORT,5,4,0,"[0, 122, 259, 400]"
29,29,GYN,5,6,0,"[0, 70, 155, 244, 330, 415]"
30,30,URO,5,6,0,"[0, 71, 151, 233, 316, 397]"
31,31,CAR,5,5,0,"[0, 81, 196, 299, 405]"
