,Patient,Block,Cancel_cost
0,0.0,2.0,1800.0
1,1.0,2.0,1507.5
2,2.0,26.0,1052.1
3,3.0,12.0,1155.6
4,4.0,3.0,888.0
5,5.0,6.0,322.8
6,6.0,22.0,678.0
7,7.0,17.0,576.3000000000001
8,8.0,29.0,1158.0
9,9.0,0.0,1349.1
10,10.0,23.0,1100.1
11,11.0,7.0,1245.6
12,12.0,3.0,882.9
13,13.0,18.0,1233.9
14,14.0,30.0,906.3
15,15.0,29.0,601.5
16,16.0,8.0,607.5
17,17.0,9.0,1427.1
18,18.0,28.0,984.6
19,19.0,10.0,477.6
20,20.0,13.0,700.8
21,21.0,7.0,925.5
22,22.0,19.0,861.9
23,23.0,17.0,1410.3
24,24.0,14.0,717.0
25,25.0,27.0,600.0
26,26.0,21.0,997.5
27,27.0,20.0,363.9
28,28.0,26.0,1266.0
29,29.0,15.0,754.2
30,30.0,24.0,1258.5
31,31.0,7.0,810.9000000000001
32,32.0,26.0,2014.2
33,33.0,30.0,601.5
34,34.0,18.0,628.2
35,35.0,21.0,308.7
36,36.0,17.0,1200.0
37,37.0,29.0,1200.0
38,38.0,9.0,1230.3
39,39.0,13.0,999.6
40,40.0,4.0,1800.0
41,41.0,20.0,918.9
42,42.0,10.0,1606.2
43,43.0,8.0,407.4
44,44.0,14.0,2131.2000000000003
45,45.0,1.0,361.2
46,46.0,8.0,954.0
47,47.0,19.0,1200.0
48,48.0,4.0,901.8
49,49.0,0.0,1245.9
50,50.0,21.0,642.6
51,51.0,6.0,1800.0
52,52.0,14.0,1062.3
53,53.0,27.0,1008.0
54,54.0,0.0,688.5
55,55.0,31.0,945.3
56,56.0,4.0,754.2
57,57.0,25.0,1987.8
58,58.0,22.0,1826.7
59,59.0,19.0,686.7
60,60.0,5.0,1016.1
61,61.0,25.0,805.5
62,62.0,6.0,1200.0
63,63.0,28.0,901.5
64,64.0,18.0,1532.1
65,65.0,3.0,772.5
66,66.0,10.0,1506.6
67,67.0,23.0,984.9
68,68.0,2.0,739.8
69,69.0,11.0,1261.8000000000002
